FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
4.617554928,6.11778792,1.104628882,34054.26916,13,1.994498496,7.463186015,0.19,17.30171829,4825.972821,8
4.278099698,6.032653561,1.406134417,44169.78362,13,2.255737615,7.303324745,0.1,19.73986388,4821.353571,8
4.164832963,5.98336718,0.49563381,72202.64579,13,1.262245125,7.334957618,0.175,10.07763401,4823.754913,8
3.519704905,6.045216082,0.794227366,75001.01439,13,1.442164088,7.39405038,0.2,0,4827.174581,8
4.331020116,6.166841663,0.943265472,59788.84002,13,2.038686945,7.419188717,0.3,11.96590689,4822.775209,5
4.178803,6.04390041,0.832872451,67343.38229,13,1.872372725,7.464300783,0.28,12.05817503,4823.516388,5
3.431233081,6.034994122,0.299293348,70662.85961,13,0.922526196,7.315200136,0.27,0,4821.542854,5
4.010475761,6.061176453,1.154226126,70654.58728,14,2.180549677,7.396898885,0.228,10.07632336,4820.205727,5
3.70935963,5.924594349,0.739488503,75004.33535,14,3.541935753,7.32292847,0.2,0,4819.300567,0
4.34121702,5.792650955,1.944559479,37767.17574,14,3.752794523,7.208706195,0,26.14126681,4821.229611,8
4.769536645,5.703950269,0.967790531,24439.68713,14,3.280558295,7.1406901,-0.067,28.20108017,4819.298116,8
4.27920909,5.765250675,3.113163425,64374.6647,14,5.48779296,7.27049525,-0.1,28.36054249,4818.034777,8
3.411128637,5.897947851,1.678427166,74995.44316,14,2.976915383,7.122660171,-0.2,0,4818.912924,8
3.267600476,5.86574031,1.388460675,74995.29471,14,4.616352634,7.127371698,-0.3,0,4820.223562,8
3.547399685,5.929076787,1.256288835,74998.61611,14,2.734239267,7.032028864,-0.3,0,4821.180439,8
3.642140426,5.779605181,0.53632096,74999.28213,14,1.950952074,7.022667648,-0.3,0,4822.233045,0
4.674569229,5.87758505,0.968113026,29220.15655,14,2.03180267,7.113347176,-0.3,20.99627716,4827.398579,8
4.080404942,5.836070496,0.583243904,75000.8516,14,1.256192341,7.095587153,-0.4,4.990751125,4821.107354,8
3.780322631,5.838872084,1.354110611,74999.49357,14,3.282648556,6.915096929,-0.4,0,4826.194654,8
3.865097251,5.828886226,1.294378885,75004.65811,14,2.220970371,7.017926898,-0.4,0,4821.509191,8
3.698343581,5.797210984,1.51852287,74998.59368,14,2.963919942,6.958549446,-0.4,0,4823.986153,8
4.122159022,5.860062676,0.703420906,75003.22608,14,1.453019313,6.910638437,-0.4,0,4824.264913,0
4.335954432,5.831439497,0.366050752,74997.54595,14,0.579589653,6.930189372,-0.4,6.97274376,4824.523483,5
4.503900589,6.017575471,0.085570692,74523.89053,14,0.237812456,7.093858556,-0.4,6.911061066,4818.573,5
4.275537398,5.975987638,0.183790534,74998.87358,14,0.330511526,7.059726713,-0.4,0,4822.806618,5
5.496443423,5.964716067,0.457559987,68815.17944,14,0.768971114,6.878326479,-0.433,11.13563302,4823.133367,8
5.550916678,5.849374013,0.500962657,68937.07969,14,0.69824511,6.937046968,-0.43,11.19907427,4826.201798,8
4.79801942,5.938114042,0.039269076,74106.62431,15,0.174291132,6.939353073,-0.4,5.954183946,4819.435242,8
5.678702703,6.047862606,0.095564004,59470.25643,15,0.28149821,6.832288624,-0.4,11.03786119,4820.020648,8
5.35982939,6.059000887,0.706616012,45324.05229,15,1.710638761,6.962028642,-0.4,12.8735466,4822.056073,8
5.840575839,6.029545299,0.321527282,28503.06213,15,0.767482125,6.89024803,-0.335,33.15917905,4818.252932,8
5.969702579,5.993823884,1.201318857,24360.82285,15,2.139013324,6.854194167,-0.273,33.27942951,4824.413242,8
6.349543407,6.128057824,0.987284212,26501.87653,15,2.0320171,6.822594511,-0.348,41.04157835,4820.748561,8
6.402281757,6.084173195,1.169752247,26229.33611,15,1.903040183,6.639475139,-0.4,41.56946931,4823.990436,8
